ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
1363;Barbat;43;Rural;ARAD;Zilnic;;;;;4;;4.001 - 5.000 lei;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Acceptabil;8;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
1364;Femeie;26;Rural;DAMBOVITA;De 4-5 ori pe saptamana;Studii postuniversitare (master, doctorat);Divortat/a / Separat/a;Da;1 copil;2;Manager / director;1.001 - 1.700 lei;Nu prea-mi place;Nu mi se potriveste deloc;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1365;Femeie;40;Urban;BRAILA;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;2;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Mi se potriveste destul de bine;Mai degraba nu;Acceptabil;Scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
1366;Barbat;37;Urban;NEAMT;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Inginer, economist, doctor, professor;Sub 750 lei;imi place mult;Mi se potriveste foarte bine;Cu siguranta da;Acceptabil;Acceptabil;7;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1367;Barbat;49;Rural;CALARASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Muncitor calificat;Nu realizez venituri;imi place mult;Mi se potriveste foarte bine;Cu siguranta da;Scump;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1368;Barbat;37;Urban;BRASOV;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;Nu realizez venituri;imi place mult;Mi se potriveste destul de bine;Probabil da;;;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
1369;Barbat;39;Rural;BRAILA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;11;Inginer, economist, doctor, professor;1.701 - 2.000 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Acceptabil;7;Cu siguranta il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;;;Nu avem niciun fel de televiziune
1370;Barbat;51;Urban;ARGES;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
1371;Barbat;35;Rural;TIMIS;Zilnic;Gimnaziu (8 clase);Divortat/a / Separat/a;Nu;;4;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;Multe filme/ seriale;;;Rapiditatea rezolvarii problemelor tehnice;Vechimea pe piata;Sa aiba pachet complet (cu internet);;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
1372;Femeie;44;Rural;CONSTANTA;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;3;Muncitor calificat;Sub 750 lei;Asa si-asa;Nu prea mi se potriveste;Probabil da;Acceptabil;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1373;Barbat;57;Urban;VALCEA;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;0;Manager / director;751 - 1.000 lei;imi place mult;Nu mi se potriveste deloc;Probabil da;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1374;Barbat;50;Urban;HUNEDOARA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Detin o afacere;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Cu siguranta da;Ieftin;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;;;;;Nu avem niciun fel de televiziune
1375;Barbat;43;Urban;IASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;Peste 5 copii;3;Detin o afacere;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Prea scump;Prea scump;8;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1376;Barbat;20;Urban;BOTOSANI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;Refuz sa raspund;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
1377;Barbat;53;Rural;ILFOV;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;1;Muncitor calificat;> 8000 lei;Nu prea-mi place;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;Sa transmita prin fibra optica;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1378;Barbat;33;Rural;BACAU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;0;Manager / director;Refuz sa raspund;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1379;Femeie;43;Urban;GALATI;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;2 copii;3;Nu lucrez;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Ieftin;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
1380;Barbat;34;Urban;GIURGIU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;5;Functionar;1.701 - 2.000 lei;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;Scump;Prea scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
1381;Barbat;40;Urban;CONSTANTA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;5;Inginer, economist, doctor, professor;751 - 1.000 lei;Asa si-asa;Asa si-asa;Probabil da;Acceptabil;Acceptabil;7;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
1382;Barbat;44;Rural;BRASOV;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Mai degraba nu;Acceptabil;Acceptabil;8;Poate il voi schimba, poate nu;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
1383;Barbat;73;Urban;BUCURESTI;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;5;Muncitor calificat;Nu realizez venituri;Nu prea-mi place;Asa si-asa;Mai degraba nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1384;Femeie;51;Urban;BACAU;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Profesii liberale: architect, notar, avocat, specialist IT, etc.;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Prea ieftin;Prea ieftin;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
1385;Femeie;50;Urban;TULCEA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;3;Muncitor calificat;2.001 - 3.000 lei;imi place mult;Mi se potriveste foarte bine;Cu siguranta da;Scump;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
1386;Femeie;33;Rural;OLT;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;2 copii;0;Nu lucrez;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;;;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
1387;Barbat;45;Urban;GORJ;Zilnic;Facultate (3-5 ani);Divortat/a / Separat/a;Da;2 copii;4;Profesii liberale: architect, notar, avocat, specialist IT, etc.;751 - 1.000 lei;imi place mult;Mi se potriveste foarte bine;Probabil da;Prea ieftin;Prea ieftin;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;Televiziune prin satelit;;;
1388;Barbat;38;Urban;BIHOR;De 2-3 ori pe saptamana;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Muncitor calificat;Sub 750 lei;Asa si-asa;Asa si-asa;Cu siguranta nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
1389;Barbat;42;Urban;PRAHOVA;;Refuz sa raspund;Refuz sa raspund;Da;3 copii;2;Refuz;751 - 1.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;8;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1390;;;;;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Refuz;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Scump;Prea scump;;;;;;;;;;;;;;;;;;;Televiziune prin cablu;;;;
1391;Femeie;84;Urban;PRAHOVA;Zilnic;;;;;4;;Refuz sa raspund;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
1392;Barbat;37;Urban;TULCEA;Zilnic;Liceu (12 clase);Vaduv/a;Da;2 copii;0;Nu lucrez;Nu realizez venituri;Nu-mi place deloc;Asa si-asa;Probabil da;Acceptabil;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1393;Femeie;50;Rural;TIMIS;Zilnic;Facultate (3-5 ani);Necasatorit/a;Da;1 copil;2;Muncitor calificat;4.001 - 5.000 lei;Asa si-asa;Mi se potriveste foarte bine;Probabil da;Scump;Prea scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;;;;;;;;;Televiziune prin cablu;;;;
1394;Barbat;18;Rural;SUCEAVA;;Treapta 1 de liceu (10 clase);Vaduv/a;Nu;;2;Muncitor calificat;3.001 - 4.000 lei;imi place mult;Mi se potriveste destul de bine;Cu siguranta da;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;;;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
1395;;;;;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;3;Elev / Student;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Prea scump;;;;;;;;;;;;;;;;;;;Televiziune prin cablu;;;;
1396;Barbat;61;Urban;ALBA;Zilnic;;;;;3;;1.701 - 2.000 lei;imi place mult;Mi se potriveste destul de bine;Cu siguranta da;Acceptabil;Scump;;;;Nu gasesc valoare in continutul de la TV;;;;;;;;;;;;;;;;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
1397;Barbat;67;Rural;BUZAU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;2;Nu lucrez;751 - 1.000 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
1398;Barbat;45;Rural;GORJ;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Refuz;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Acceptabil;4;Cu siguranta il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1399;Barbat;38;Rural;DAMBOVITA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;3 copii;3;Functionar;Sub 750 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Prea scump;Prea scump;9;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
1400;Barbat;40;Rural;CLUJ;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;2 copii;1;Muncitor calificat;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Prea scump;7;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
1401;Barbat;31;Urban;CLUJ;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;3 copii;2;Profesii liberale: architect, notar, avocat, specialist IT, etc.;3.001 - 4.000 lei;imi place mult;Mi se potriveste destul de bine;Mai degraba nu;Ieftin;Scump;9;Cu siguranta il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;;;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
